Date,City,Province,Incident,Type of Violence,Age of Victim,Gender of Victim,Gender of Victim(s),Gender of Victim(s),Gender of Victim(s),Gender of Victim(s),News Report Link,Follow-up?,Follow-up link,Headlines
"26th October, 2020",Chiniot,Punjab,A man has been arrested for raping a university student at his house in Chiniot. He and the woman used to take tuition classes together.,Gang rape,,Female,,,,,https://www.samaa.tv/news/2020/10/university-student-rape-in-chiniot/,,,
"27th October, 2020",Kalat,Balochistan,,"Child abuse, rape, murder",8,Male,,,,,https://www.dawn.com/news/1587314,,,
"27th October, 2020",Dijkot,Punjab,"Police registered a case against eight people on charges of torturing a transgender person after abducting him in the Batala Colony area, cutting off his hair and snatching cash and gold jewellery from him.","Kidnapping, Torture",,Transgender,,,,,https://tribune.com.pk/story/2270048/transgender-persons-protest-against-abduction,,,
"27th October, 2020",Peshawar,KP,Man rape his daugher,"Child abuse, rape",14,Female,,,,,https://www.dawn.com/news/1600271/man-denied-bail-in-daughter-assault-case,,,
"27th October, 2020",Layyah,Punjab,An Ehsaas programme officer was arrested for allegedly raping a teenage girl. The suspect went to the girl's house to rape her after obtaining her personal data by promising to register her for the Ehsaas programme.,"Child abuse, rape",15,Female,,,,,https://www.geo.tv/latest/316683-ehsaas-programme-officer-arrested-for-allegedly-raping-minor-girl-layyah,,,
"28th October, 2020",Mianwali,Punjab,Unidentified persons shot dead a transgender person,Murder,,Transgender,,,,,https://www.geo.tv/latest/315621-unidentified-persons-murder-transgender-in-mianwali,,,
"29th October, 2020",Sheikhupura,Punjab,"The complainant alleged, while coming back to home, two people in police uniform intercepted her and took her to a field and gang raped her.",Gang rape,,Female,,,,,https://www.dawn.com/news/1587515/two-rapists-arrested,,,
"30th October, 2020",Chiniot,Punjab,A two-year-old boy was raped allegedly by his relative in Wanotiwala village,"Child abuse, rape",2,Male,,,,,https://www.dawn.com/news/1587702/minor-raped-at-home,,,
"31st October, 2020",Islamamabad,Islamabad,Transgender Heera Malik was allegedly attacked and tortured by unidentified men on October 31 in Sector F-11 of the federal capital.,"Attack, torture",,Transgender,,,,,https://tribune.com.pk/story/2271723/transgenders-demand-inquiry-into-attack,,,
"1st Novemeber, 2020",Pakpathan,Punjab,A 32-year-old woman was gang-raped and murdered in Bhila village.,"Gang rape, murder",32,Female,,,,,https://tribune.com.pk/story/2270615/woman-allegedly-gang-raped-murdered,,,
"2nd Novemeber, 2020",Taxila,Punjab,A teenage girl was sexually assaulted by five people in the jurisdiction of Wah Cantonment police,"Child abuse, gang rape",13,Female,,,,,https://www.dawn.com/news/1588103; https://www.dawn.com/news/1588473/three-held-on-charge-of-raping-minor,,,
"2nd Novemeber, 2020",Rawalpindi,Punjab,"A woman was murdered, allegedly by her husband and in-laws over a domestic dispute in Naseerabad","Domestic violence, murder",30,Female,,,,,https://www.dawn.com/news/1588104/woman-killed-over-domestic-dispute,,,
"2nd Novemeber, 2020",Dera Murad Jamali,Balochistan,A brother allegedly shot dead his sister and a man in the name of honour in a village in Magsi Shakh area of Nasirabad district,"Honour killing, murder","18, 22",Female,Male,,,,https://www.dawn.com/news/1588312/man-shoots-dead-sister-man-for-honour,,,
"2nd Novemeber, 2020",Taxila,Punjab,An eight years old boy was sexually assaulted by his neighbour in the limits of Wah Saddar police station,"Child abuse, sexual assault",8,Male,,,,,https://www.dawn.com/news/1588272/boy-sexually-assaulted,,,
"4th November, 2020",Mirpurkhas,Sindh,"The mutilated body of a 15/16-year-old girl, found floating in Jamrao canal",Murder,16,Female,,,,,https://www.dawn.com/news/1588433,,,
"6th November, 2020",Faisalabad,Punjab,A murder case was registered against a man on charges of killing his minor daughter who was making a noise at home.,"Child abuse, murder",6,Female,,,,,https://www.dawn.com/news/1588870/man-kills-daughter-for-making-a-noise-in-faisalabad,,,
"6th November, 2020",Lahore,Punjab,Son held for killing mother in name of honour,"Murder, honour killing",50,Female,,,,,https://www.dawn.com/news/1588864/youngster-held-for-slaying-mother,,,
"6th November, 2020",Mandi Bahauddin,Punjab,A 15-year-old boy was raped and then murdered in Mandi Bahauddin’s Shahana Lok,"Child abuse, rape, murder",15,Male,,,,,https://www.samaa.tv/news/2020/11/15-year-old-boy-harassed-murdered-in-mandi-bahauddin-police/,,,
"7th November, 2020",Swabi,KP,"Man, girl shot dead for honour in Swabi","Murder, honour killing",,Female,Male,,,,https://www.dawn.com/news/1589182/man-girl-shot-dead-for-honour-in-swabi,,,
"8th November, 2020",Islamamabad,Islamabad,"Employee of bank arrested for workplace harassment, caught on tape",Workplace harassment,,Female,,,,,https://www.thenews.com.pk/latest/740868-islamabad-bank-harassment-faysal-bank-usman-gohar-manager-employee-caught-groping-woman-on-video-arrested; https://www.dawn.com/news/1589330/man-arrested-for-sexual-harassment-in-islamabad,,,
"8th November, 2020",Islamamabad,Islamabad,"The Islamabad police have arrested two suspects for allegedly harassing three foreign women, who had lost way while hiking in Sanyari forest.",Harassment,,Female,Female,Female,,,https://tribune.com.pk/story/2271478/two-held-for-harassing-foreign-women,,,
"8th November, 2020",Lahore,Punjab,Man confesses to killing teenage daughters,"Child abuse, murder","15, 16",Female,Female,,,,https://tribune.com.pk/story/2271470/man-confesses-to-killing-teenage-daughters,,,
"8th November, 2020",Sindhri,Sindh,Woman shot dead by brother,Murder,20,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2020-11-08/YjhiYjgxYTM5YzJlZDgyODE4NWQ5ZjRjNmU0YmYyZDYuanBlZw%3D%3D,,,
"8th November, 2020",Okara,Punjab,"A woman was allegedly gang-raped in the jurisdiction of Chauchak police station, Okara",Gang rape,,Female,,,,,https://tribune.com.pk/story/2271475/woman-gang-raped-in-okara,,,
"8th November, 2020",Rawat,Punjab,"A four year old was allegedly sexually abused by a man in Rawat, who the police have apprehended after an FIR was registered","Child abuse, sexual assault",4,Male,,,,,https://www.dawn.com/news/1589333/child-sexually-assaulted,,,
"9th November, 2020",Baja village,KP,A man allegedly killed his former wife in Baja village with the help of his two sons.,,,Female,,,,,https://www.dawn.com/news/1589541/man-kills-ex-wife-in-swabi,,,
"9th November, 2020",Sargodha,Punjab,A minor girl was gang-raped allegedly by a son of a landlord and his servant in the area of Chak 36-NB,"Child abuse, gang rape",9,Female,,,,,https://www.dawn.com/news/1589774/girl-gang-raped-by-landlords-son-servant,,,
"10th November, 2020",Shahdadpur,Sindh,Woman tortured to death,"Murder, torture",22,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2020-11-10/MTgxZjliNWU0ODU1OTIyNDljZGYwYmQ3NGJhMDdkMTAuanBlZw%3D%3D,,,
"10th November, 2020",Rawalpindi,Punjab,Two suspects held for raping woman,Gang rape,,Female,,,,,https://www.dawn.com/news/1589685/two-suspects-held-for-raping-woman,,,
"10th November, 2020",Killa Saifullah,Balochistan,Man shoots and kills sister in name of honour at jirga,"Murder, honour killing",,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2020-11-11/ZjQ2ZDA3ZDIxYjVkZWIwOTEyNTc5MWM3NjI5MDJlZjQuanBlZw%3D%3D,,,
"10th November, 2020",Baghanpura,Punjab,Minor boy raped in Baghanpura,"Child abuse, rape",6,Male,,,,,https://tribune.com.pk/epaper/news/Karachi/2020-11-11/MjE3ODg3NTQ3N2MzNzMxZjAzMWVjMzgxN2RkZTZiZTguanBlZw%3D%3D; https://www.geo.tv/latest/318066-lahore-two-men-arrested-for-raping-six-year-old-in-baghbanpura-child-abuse,,,
"10th November, 2020",Faisalabad,Punjab,"A case was registered on January 20, 2021 with the Chak Jhumra police against unidentified person(s) on charges of subjecting a 13-year-old girl, living at Darul Aman since November, to rape.","Child abuse, rape (reported later in Jan 2021)",13,Female,,,,,https://www.dawn.com/news/1602611/rape-case-filed-as-teenager-rescued-by-cpwb-found-pregnant; https://tribune.com.pk/story/2280744/teenage-girl-pregnant-after-rape,,,
"11th November, 2020",Bhawalpur,Punjab,"Shoaib alias Shabbi along with his three accomplices allegedly poisoned his newly-wed wife, Afsana Bibi, whom he had married 10 days ago","Murder, domestic violence",,Female,,,,,https://www.dawn.com/news/1589772/woman-poisoned-leg-of-another-chopped-off-by-husbands,,,
"11th November, 2020",Bhawalpur,Punjab,Javed Qadir allegedly tortured his wife Parveen and chopped off one of her legs with an axe near village 132/DNB.,Domestic violence,,Female,,,,,https://www.dawn.com/news/1589772/woman-poisoned-leg-of-another-chopped-off-by-husbands,,,
"11th November, 2020",Kashmore,Sindh,A man identified as Rafiq Malak has been arrested for raping a woman and her four-year-old daughter in Kashmore,"Child abuse, gang rape",4,Female,Female,,,,https://www.samaa.tv/news/2020/11/kashmore-men-gangrape-jpmc-worker-four-year-old-daughter-for-2-weeks/,,,
"11th November, 2020",Karachi,Sindh,"Karachi police are investigating the alleged kidnapping, sexual assault, torture and murder of a four-year-old boy, who passed away at the Jinnah Post-Graduate Medical Centre (JPMC)","Child abuse, kidnapping, sexual assault, torture, murder",4,Male,,,,,https://www.dawn.com/news/1589841,,,
"11th November, 2020",Sukkur,Sindh,The main suspect nominated in the murder of a young woman in a case of karo kari was arrested,"Murder, honour killing",,Female,,,,,https://www.geo.tv/latest/318069-karo-kari-sanghar-police-claim-to-have-arrested-gulshana-shars-murderer,,,
"14th November, 2020",Gujar Khan,Punjab,A man has been arrested by Rawat police for his alleged attempt to sexually assault a nine-year-old boy,"Child abuse, sexual assault",9,Male,,,,,https://www.dawn.com/news/1590235/man-held-for-trying-to-sexually-assault-boy,,,
"14th November, 2020",Baghanpura,Punjab,Minor girl gone missing on 14th and later found dead. She had also been raped.,"Child abuse, kidnapping, rape, murder",7,Female,,,,,https://www.dawn.com/news/1590598/neighbour-held-for-rape-murder-of-minor-girl,,,
"14th November, 2020",Umerkot,Sindh,Grade IX student raped at gunpoint,"Child abuse, rape","Unknown, but minor",Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2020-11-16/MjViNTk4NzZiNmI3MjEzNWRhM2Y0ZjhlZWYwMmE2YTQuanBlZw%3D%3D,,,
"14th November, 2020",Sujawal,Sindh,Woman raped at gunpoit,Rape,,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2020-11-16/MjViNTk4NzZiNmI3MjEzNWRhM2Y0ZjhlZWYwMmE2YTQuanBlZw%3D%3D,,,
"14th November, 2020",Karachi,Sindh,Woman stapped to death allegaedly by husband,"Murder, Domestic violence",40,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2020-11-16/ZWI3YmIyNTExZGU4Y2ZmMWU5MGZkYmQ3ZGJiMDA2NzIuanBlZw%3D%3D,,,
"15th November, 2020",Okara,Punjab,"Police team conducted a raid on the venue at Cha Chadhranwala where the marriage ceremony of a nine-year-old Allah Nawaz, and minor girl Misbah (9)",Underage marriage,"9, 9",Female,Male,,,,https://www.dawn.com/news/1590592/boy-among-three-held-for-underage-marriage,,,
"15th November, 2020",Chichawatni,Punjab,A female labourer was allegedly mudered by a man,Murder,22,Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2020-11-16/NDJhNDRkYjNmZDliNWY2OTc3Zjk4NzhmYmNlZDM5N2EuanBlZw%3D%3D,,,
"16th November, 2020",Sukkur,Sindh,14-year-old girl burnt to death. Police sources claimed it was an apparently a case of Karo-Kari and the family members of the girl were behind the incident.,Murder,14,Female,,,,,https://www.thenews.com.pk/print/744425-14-year-old-girl-burnt-to-death,,,
"16th November, 2020",Dijkot,Punjab,Student of class 11 raped by man who gave him a lift back from school,"Child abuse, rape",15,Male,,,,,https://tribune.com.pk/epaper/news/Lahore/2020-11-17/MjgzZjczZjIyYjg4MjAwMTA3YjJlYTA2NmE2MDgyMmUuanBlZw%3D%3D,,,
"16th November, 2020",Dijkot,Punjab,Raped at gunpoint,Rape,24,Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2020-11-17/MjgzZjczZjIyYjg4MjAwMTA3YjJlYTA2NmE2MDgyMmUuanBlZw%3D%3D,,,
"17th November, 2020",Sialkot,Punjab,"A six- year-old boy was allegedly sexually assaulted by four persons after his abduction in Dholan-Motra village, Daska Tehsil.","Child abuse, kidnapping, gang rape",6,Male,,,,,https://tribune.com.pk/story/2272629/minor-boy-gang-raped-in-sialkot,,,
"17th November, 2020",Sardogha,Punjab,"The police arrested an accused over alleged rape cum murder of a minor girl in Tehsil Kot momin. Police said that eight-year-old Sadia, daughter of labourer Saifullah, resident of Laliyani village, was abducted while going to school The accused took her to the nearby fields and killed the girl after sexually assaulting her and managed to escape from the scene.","Child abuse, murder, rape",8,Female,,,,,https://nation.com.pk/19-Nov-2020/man-arrested-in-rape-cum-murder-of-minor,,,
"18th November, 2020",Dijkot,Punjab,"Police registered a case against three armed men who allegedly abducted and physically assaulted a transgender person on Nadwala Road. Police said the suspects, after abducting the victims, cut off the hair and snatched cash, a mobile phone among other valuables.","Abduction, assaut, robbery",,Transgender,,,,,https://tribune.com.pk/story/2272626/three-booked-for-assaulting-transgender-person,,,
"18th November, 2020",Lahore,Punjab,Shahdara Town police arrested a man on charge of raping a seven-year-old boy,"Child abuse, rape",7,Male,,,,,https://www.thenews.com.pk/print/745297-rapist-arrested,,,
"19th November, 2020",Lahore,Punjab,Civil Lines Investigation police arrested a man for injuring his wife. The accused Abdul Wahab had shot at and wounded his wife on filing divorce petition.,Domestic violence,,Female,,,,,https://www.thenews.com.pk/print/745725-man-held-for-injuring-wife,,,
"19th November, 2020",Baghbanpura,Punjab,Baghbanpura Investigation police arrested a man Mubarak for injuring his wife over a domestic issue.,Domestic violence,,Female,,,,,https://www.thenews.com.pk/print/745725-man-held-for-injuring-wife,,,
"19th November, 2020",Rawalpindi,Punjab,"A allegedly raped his niece Sidra and brutally killed her by suffocating her with a pillow. (Reported on Jan 29, 2021)","Child abuse, rape, murder",7,Female,,,,,https://tribune.com.pk/story/2281786/in-rawalpindi-verdict-reserved-in-girls-rape-murder-case,,,
"20th November, 2020",Dijkot,Punjab,Woman raped by her ex-husband.,Rape,,Female,,,,,https://tribune.com.pk/story/2273019/teenage-girl-among-three-raped-in-city,,,
"20th November, 2020",Dijkot,Punjab,The couple was called to collect the money given to them as a loan when they were taken to an empty house. The accused Faisal along with his accomplices locked the husband in a room and raped his wife.,Gang rape,,Female,,,,,https://tribune.com.pk/story/2273019/teenage-girl-among-three-raped-in-city,,,
"20th November, 2020",Dijkot,Punjab,Girl raped by an unidentified accused.,Rape,14,Female,,,,,https://tribune.com.pk/story/2273019/teenage-girl-among-three-raped-in-city,,,
"20th November, 2020",Narowal,Punjab,"A young woman was allegedly abducted, drugged and gang-raped by some influential men, who during her three-day long illegal detention","Kidnapping, gang rape, blackmailing",20,Female,,,,,https://www.dawn.com/news/1601570/gang-rape-victim-demands-arrest-of-suspects,,,
